VERSION	1200
Time[MSec.]	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio
%.1f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f
Time	ROI(1-1)	ROI(1-2)	ROI(1-3)	ROI(1-4)	ROI(1-5)	ROI(1-6)	ROI(1-7)
GraphNo	1	2	3	4	5	6	7
1177474.9	0.148500	0.132400	0.111900	0.157200	0.137800	0.158700	0.108200
1182639.2	0.146900	0.132000	0.110900	0.154200	0.138300	0.158000	0.110200
1187803.6	0.147900	0.133300	0.112400	0.153600	0.139000	0.159300	0.110800
1192968.0	0.149000	0.132100	0.110100	0.159300	0.136500	0.158900	0.106900
1198132.3	0.148000	0.131000	0.108100	0.158700	0.134600	0.157200	0.106200
1203296.7	0.149400	0.133400	0.110600	0.158200	0.137500	0.159600	0.109000
1208461.1	0.148200	0.131600	0.109600	0.158100	0.135300	0.157000	0.107700
1213625.4	0.148500	0.132400	0.111300	0.154900	0.137500	0.158800	0.110400
1218789.8	0.150200	0.132000	0.108400	0.161500	0.135400	0.158700	0.107700
1223954.1	0.149600	0.132700	0.111500	0.156100	0.137800	0.158700	0.109700
1229118.5	0.147400	0.133600	0.110800	0.153500	0.136000	0.157000	0.109800
1234282.9	0.149400	0.132400	0.109200	0.158400	0.134400	0.157900	0.107700
1239447.2	0.154100	0.135600	0.115700	0.167600	0.139000	0.160400	0.112900
1244611.6	0.167900	0.150300	0.135800	0.187600	0.151100	0.172900	0.129500
1249776.0	0.179200	0.168000	0.162700	0.215300	0.165800	0.186000	0.148000
1254940.3	0.193600	0.187900	0.193800	0.231900	0.183600	0.201500	0.162900
1260104.7	0.206300	0.206300	0.217800	0.258600	0.199700	0.219200	0.173400
1265269.0	0.217800	0.227200	0.225700	0.286300	0.215600	0.236300	0.177200
1270433.4	0.223300	0.247700	0.238300	0.313800	0.234800	0.255000	0.189800
1275597.8	0.227900	0.254500	0.236600	0.345900	0.243300	0.273700	0.190300
1280762.1	0.229400	0.258500	0.233800	0.370700	0.251200	0.286400	0.188500
1285926.5	0.227600	0.265000	0.250700	0.366800	0.267500	0.298100	0.202200
