VERSION	1200
Time[MSec.]	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio
%.1f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f
Time	ROI(1-1)	ROI(1-2)	ROI(1-3)	ROI(1-4)	ROI(1-5)	ROI(1-6)	ROI(1-7)	ROI(1-8)	ROI(1-9)	ROI(1-10)	ROI(1-11)	ROI(1-12)	ROI(1-13)
GraphNo	1	2	3	4	5	6	7	8	9	10	11	12	13
704006.0	0.148500	0.150700	0.159500	0.213000	0.189200	0.179700	0.117300	0.070400	0.088800	0.074200	0.084200	0.132200	0.166800
708963.8	0.147500	0.148800	0.157500	0.209800	0.183100	0.172500	0.118200	0.075300	0.091800	0.077900	0.087900	0.131100	0.165600
713921.6	0.147000	0.149000	0.157600	0.211100	0.186200	0.175900	0.117200	0.073900	0.090700	0.076800	0.085700	0.131100	0.164800
718879.4	0.147100	0.148900	0.157800	0.211000	0.186100	0.175300	0.117600	0.072500	0.090000	0.076400	0.085100	0.131200	0.165900
723837.2	0.147800	0.148100	0.157900	0.210500	0.185200	0.175400	0.118000	0.073800	0.090500	0.076600	0.086300	0.131000	0.165200
728794.9	0.147100	0.148800	0.157200	0.210100	0.184800	0.174600	0.117700	0.073500	0.089900	0.077400	0.086700	0.131100	0.165000
733752.7	0.148100	0.149400	0.157900	0.212800	0.189100	0.178900	0.116300	0.070300	0.088600	0.074800	0.083700	0.132400	0.165100
738710.5	0.146200	0.147400	0.155900	0.208900	0.182600	0.171600	0.118300	0.074000	0.090300	0.077700	0.087700	0.130400	0.165300
743668.3	0.148300	0.150600	0.159200	0.212500	0.189100	0.178800	0.116500	0.068800	0.088000	0.072900	0.082900	0.133000	0.165900
748626.1	0.147400	0.148300	0.157300	0.210700	0.186600	0.175200	0.116900	0.070500	0.090000	0.076600	0.084900	0.131500	0.164600
753583.9	0.147300	0.148400	0.157800	0.211000	0.187000	0.175600	0.116500	0.070800	0.090200	0.075700	0.085400	0.132000	0.164800
758541.7	0.148000	0.149100	0.157900	0.211000	0.185900	0.173600	0.120400	0.077300	0.093400	0.080700	0.090000	0.131900	0.166400
763499.5	0.148100	0.149300	0.158300	0.211700	0.187500	0.177000	0.118800	0.073500	0.091200	0.078100	0.088100	0.132800	0.165900
768457.3	0.148700	0.150200	0.159200	0.212900	0.189500	0.176600	0.118800	0.071400	0.089200	0.076700	0.086400	0.133200	0.166100
773415.0	0.149500	0.150600	0.159800	0.213100	0.190900	0.178400	0.118100	0.071100	0.090900	0.076200	0.086200	0.134000	0.165500
778372.8	0.148600	0.150100	0.159600	0.212500	0.190500	0.177600	0.118300	0.070500	0.090000	0.076200	0.085400	0.133200	0.165900
783330.6	0.149600	0.150500	0.159600	0.212400	0.191900	0.178000	0.118100	0.069800	0.088900	0.075600	0.085600	0.133700	0.165800
788288.4	0.148700	0.150200	0.159200	0.211400	0.189900	0.176400	0.118000	0.069600	0.088900	0.076200	0.085800	0.133200	0.165800
793246.2	0.149000	0.149800	0.159300	0.211100	0.189800	0.176000	0.118200	0.071300	0.089300	0.076300	0.086000	0.133500	0.165600
798204.0	0.149200	0.150400	0.159200	0.211700	0.192100	0.177800	0.118000	0.070300	0.090100	0.076600	0.085900	0.133400	0.165800
803161.8	0.148400	0.149400	0.158800	0.210900	0.190300	0.176700	0.117400	0.069100	0.089400	0.075200	0.084400	0.132900	0.164900
808119.6	0.147900	0.149400	0.157900	0.209400	0.188800	0.175000	0.118200	0.072000	0.090800	0.077600	0.087100	0.132500	0.164800
813077.4	0.148700	0.149200	0.158800	0.209700	0.190100	0.175200	0.117400	0.070800	0.088600	0.076800	0.086200	0.133100	0.164700
818035.1	0.150200	0.150900	0.159400	0.210900	0.191100	0.176800	0.118200	0.069400	0.089400	0.076100	0.085700	0.133700	0.164900
822992.9	0.147200	0.148300	0.157100	0.207400	0.187200	0.172100	0.118600	0.073500	0.091300	0.079000	0.088300	0.131200	0.164500
827950.7	0.147600	0.148400	0.157700	0.208100	0.187200	0.171300	0.117500	0.070000	0.090200	0.077400	0.086700	0.132100	0.164400
832908.5	0.149000	0.150400	0.159400	0.210100	0.192400	0.177400	0.116500	0.067100	0.088500	0.074400	0.083000	0.133600	0.164300
837866.3	0.148200	0.148400	0.157500	0.209400	0.189800	0.173900	0.117200	0.069400	0.089600	0.076600	0.085800	0.132000	0.164400
842824.1	0.148800	0.149300	0.158400	0.208700	0.191000	0.174300	0.117400	0.069500	0.088800	0.075700	0.085500	0.132400	0.164300
847781.9	0.148000	0.148700	0.157600	0.208100	0.189300	0.172900	0.116700	0.067800	0.088500	0.075300	0.084100	0.131900	0.164400
852739.7	0.148300	0.148600	0.157600	0.208700	0.190600	0.174400	0.117200	0.070400	0.089700	0.076600	0.086800	0.132100	0.163600
857697.4	0.147700	0.148400	0.157400	0.207900	0.190900	0.174100	0.118000	0.070400	0.089400	0.077600	0.087200	0.132000	0.163800
862655.2	0.148700	0.149200	0.158100	0.206900	0.190200	0.173900	0.117500	0.069800	0.088400	0.075900	0.086400	0.132200	0.164300
867613.0	0.148100	0.149400	0.157700	0.208800	0.194900	0.176800	0.116200	0.067000	0.086900	0.073600	0.082200	0.133000	0.163100
872570.8	0.148000	0.148900	0.158000	0.207800	0.192900	0.174800	0.116500	0.067900	0.086700	0.075500	0.084900	0.132700	0.163100
877528.6	0.148400	0.149200	0.158400	0.206700	0.191800	0.173700	0.117300	0.070000	0.088600	0.076500	0.086300	0.132200	0.162900
882486.4	0.148500	0.148700	0.157800	0.206100	0.191700	0.174300	0.116400	0.068800	0.088900	0.075500	0.084900	0.132300	0.163500
887444.2	0.147700	0.148100	0.156900	0.204500	0.189800	0.171600	0.116700	0.067100	0.087300	0.075100	0.084600	0.131700	0.163200
892402.0	0.147600	0.148300	0.157400	0.205300	0.190600	0.172100	0.117500	0.070400	0.089600	0.077000	0.086800	0.132000	0.162800
897359.7	0.147500	0.147600	0.156900	0.205100	0.191300	0.172400	0.116400	0.069600	0.088400	0.076200	0.085900	0.131200	0.161600
