VERSION	1200
Time[MSec.]	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio
%.1f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f
Time	ROI(1-1)	ROI(1-2)	ROI(1-3)	ROI(1-4)	ROI(1-5)	ROI(1-6)	ROI(1-7)	ROI(1-8)	ROI(1-9)	ROI(1-10)	ROI(1-11)	ROI(1-12)
GraphNo	1	2	3	4	5	6	7	8	9	10	11	12
784983.2	0.189600	0.189000	0.142900	0.190800	0.207000	0.170700	0.144100	0.197800	0.177000	0.131200	0.120600	0.131000
790147.6	0.179500	0.202900	0.184700	0.208700	0.193900	0.144400	0.111700	0.163600	0.161400	0.108700	0.097900	0.110100
795311.9	0.185300	0.196300	0.158500	0.198500	0.202700	0.156400	0.123400	0.180900	0.169500	0.118100	0.106500	0.117500
800476.3	0.174600	0.210500	0.215700	0.219100	0.182100	0.134800	0.110200	0.143700	0.156500	0.105500	0.097000	0.107400
805640.7	0.178900	0.196100	0.169800	0.200300	0.195100	0.149800	0.119600	0.167300	0.164300	0.114300	0.103900	0.112900
810805.0	0.180900	0.190900	0.154900	0.194500	0.197400	0.154800	0.125800	0.173500	0.166600	0.117700	0.107400	0.117700
815969.4	0.186100	0.195900	0.160200	0.198800	0.204800	0.161100	0.128300	0.189200	0.166900	0.118000	0.108300	0.118000
821133.7	0.190800	0.188100	0.140400	0.189700	0.213500	0.171600	0.137700	0.208500	0.175000	0.126700	0.116900	0.126100
826298.1	0.174400	0.202600	0.192900	0.209000	0.188000	0.138400	0.108600	0.153100	0.156200	0.105800	0.095700	0.107800
831462.5	0.181800	0.197200	0.166600	0.199600	0.196500	0.152100	0.121600	0.171500	0.164700	0.114100	0.104700	0.114700
836626.8	0.180000	0.192000	0.163700	0.196700	0.196000	0.151100	0.118200	0.171000	0.164100	0.113300	0.103100	0.113700
841791.2	0.190100	0.191800	0.148600	0.194100	0.212400	0.166700	0.127800	0.204100	0.172100	0.119700	0.109400	0.120500
846955.6	0.186900	0.194700	0.161300	0.198100	0.203100	0.157700	0.123300	0.186400	0.167300	0.117000	0.105900	0.115900
852119.9	0.181400	0.198500	0.177300	0.202800	0.198000	0.150300	0.115400	0.175800	0.161500	0.110700	0.101200	0.111800
857284.3	0.184300	0.190500	0.150700	0.191000	0.203100	0.162500	0.131900	0.189200	0.168900	0.120900	0.111200	0.120500
862448.6	0.182900	0.194600	0.165000	0.197200	0.198400	0.153500	0.117600	0.176300	0.163400	0.111200	0.102100	0.113500
867613.0	0.184800	0.195000	0.163200	0.196900	0.202000	0.156700	0.121700	0.184600	0.164500	0.114100	0.104900	0.115200
872777.4	0.173600	0.197800	0.185600	0.202300	0.186500	0.139500	0.109900	0.153800	0.155000	0.106200	0.096800	0.107200
877941.7	0.180500	0.194400	0.169100	0.196700	0.194900	0.150900	0.118600	0.172100	0.160200	0.111900	0.101900	0.112400
883106.1	0.180000	0.189900	0.158600	0.190900	0.195900	0.152400	0.121500	0.172300	0.163500	0.115500	0.106200	0.114200
888270.5	0.181600	0.193600	0.165300	0.196500	0.196600	0.150000	0.115700	0.172800	0.161500	0.110200	0.100000	0.111100
893434.8	0.181400	0.192300	0.165200	0.195200	0.196500	0.152900	0.120200	0.173700	0.161600	0.111700	0.103000	0.113200
