VERSION	1200
Time[MSec.]	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio
%.1f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f
Time	ROI(1-1)	ROI(1-2)	ROI(1-3)	ROI(1-4)	ROI(1-5)	ROI(1-6)	ROI(1-7)	ROI(1-8)	ROI(1-9)	ROI(1-10)	ROI(1-11)	ROI(1-12)	ROI(1-13)	ROI(1-14)	ROI(1-15)	ROI(1-16)	ROI(1-17)
GraphNo	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17
402544.9	0.216400	0.146300	0.165300	0.226600	0.161700	0.204300	0.200400	0.116500	0.173700	0.194600	0.192400	0.115000	0.183000	0.167000	0.176800	0.157300	0.096700
407640.4	0.215900	0.146500	0.166800	0.230400	0.168000	0.207500	0.206400	0.116100	0.175700	0.197600	0.194800	0.115700	0.186900	0.168400	0.177300	0.158500	0.097500
412735.9	0.217200	0.144700	0.167100	0.234100	0.166200	0.210800	0.211600	0.112500	0.177500	0.199500	0.197100	0.112600	0.190300	0.168100	0.178400	0.157600	0.094800
417831.4	0.231300	0.158300	0.168200	0.220300	0.154900	0.201200	0.184400	0.135100	0.169200	0.191400	0.189600	0.129500	0.180500	0.168400	0.180900	0.159900	0.108300
422926.9	0.223000	0.149100	0.167900	0.233200	0.167800	0.211000	0.208800	0.119400	0.178300	0.200300	0.198700	0.118400	0.189700	0.170200	0.179900	0.159500	0.097500
428022.4	0.223200	0.149600	0.168300	0.231100	0.161500	0.210500	0.206200	0.119600	0.176900	0.199600	0.197500	0.117500	0.189200	0.171400	0.181900	0.160600	0.099300
433117.9	0.227000	0.151600	0.168400	0.231200	0.164400	0.212700	0.206100	0.124800	0.177100	0.199400	0.198600	0.122300	0.189500	0.171300	0.181600	0.161800	0.100500
438213.4	0.222600	0.144900	0.168800	0.236500	0.172200	0.217500	0.218200	0.111100	0.180100	0.203900	0.201700	0.113800	0.192300	0.171800	0.179600	0.160600	0.096400
443308.9	0.225400	0.148500	0.166700	0.227300	0.163400	0.209600	0.204900	0.123700	0.174400	0.198700	0.197000	0.120900	0.185400	0.169100	0.179500	0.158900	0.099700
448404.4	0.223200	0.144900	0.166200	0.233300	0.167100	0.215300	0.213000	0.111900	0.177900	0.201700	0.199700	0.114200	0.190400	0.170700	0.178700	0.159700	0.094800
453499.9	0.222100	0.143300	0.166600	0.233100	0.167800	0.213600	0.213700	0.112000	0.177800	0.200900	0.199000	0.112400	0.188500	0.171100	0.179100	0.159800	0.094800
458595.4	0.229800	0.152500	0.167100	0.224000	0.158300	0.208800	0.196200	0.127900	0.172300	0.195200	0.194800	0.125300	0.183700	0.169900	0.180700	0.160800	0.102700
463690.9	0.227200	0.149100	0.166900	0.230300	0.162200	0.213100	0.202900	0.119700	0.175200	0.196900	0.196700	0.120200	0.187400	0.170400	0.180800	0.161000	0.099700
468786.4	0.225000	0.147800	0.167200	0.228700	0.162800	0.211200	0.202600	0.118600	0.174800	0.196700	0.196000	0.119100	0.185700	0.170000	0.179300	0.159900	0.097500
473881.9	0.224400	0.147100	0.164500	0.230900	0.160500	0.210100	0.203100	0.121700	0.172900	0.196200	0.195800	0.119400	0.186400	0.169300	0.178500	0.158600	0.098400
478977.4	0.221000	0.145900	0.163300	0.223300	0.158500	0.205700	0.196800	0.121700	0.171100	0.193500	0.193000	0.119800	0.181500	0.167600	0.176300	0.158000	0.098800
484073.0	0.220100	0.147500	0.163100	0.228000	0.163500	0.206700	0.201600	0.125000	0.172100	0.193700	0.194200	0.121400	0.183100	0.167200	0.176900	0.158100	0.098700
489168.5	0.220000	0.146400	0.165300	0.233200	0.163500	0.213400	0.206100	0.120800	0.175300	0.197600	0.197200	0.117700	0.189200	0.170400	0.179500	0.161000	0.096400
494264.0	0.212000	0.139500	0.165300	0.238200	0.170300	0.218500	0.219500	0.109500	0.179200	0.202700	0.201800	0.110800	0.193900	0.170300	0.177300	0.159500	0.090100
499359.5	0.212600	0.141300	0.165100	0.232600	0.167600	0.216300	0.216200	0.110100	0.178300	0.200200	0.201000	0.112600	0.190800	0.170800	0.177600	0.160200	0.090300
504455.0	0.213800	0.140900	0.164200	0.232100	0.161900	0.213200	0.211300	0.113800	0.176200	0.198800	0.199600	0.112500	0.187900	0.170000	0.176900	0.158200	0.092700
509550.5	0.215600	0.141900	0.165700	0.232300	0.167200	0.213200	0.211200	0.114600	0.176400	0.199000	0.198600	0.114100	0.186900	0.169000	0.176700	0.158800	0.093600
514646.0	0.215000	0.139200	0.165100	0.236500	0.164500	0.215300	0.216100	0.110300	0.177200	0.200800	0.199500	0.110500	0.190200	0.169400	0.176800	0.157500	0.090800
519741.5	0.216000	0.139400	0.163600	0.237100	0.167200	0.215400	0.214600	0.112000	0.177800	0.200700	0.199600	0.111600	0.189800	0.169100	0.176300	0.158600	0.090800
524837.0	0.215700	0.140400	0.163400	0.234100	0.165300	0.214500	0.215600	0.112000	0.176800	0.200300	0.199000	0.111400	0.189100	0.169000	0.177200	0.159200	0.090400
529932.5	0.215100	0.139100	0.163800	0.235000	0.169200	0.213300	0.216500	0.110700	0.176600	0.198900	0.198600	0.109900	0.187600	0.168700	0.175400	0.158500	0.091000
535028.0	0.214900	0.138200	0.163100	0.235000	0.167200	0.213800	0.217500	0.108100	0.177900	0.200100	0.198500	0.108400	0.190200	0.169400	0.176000	0.158100	0.089200
540123.5	0.219100	0.143500	0.163600	0.227400	0.160500	0.209000	0.205900	0.118700	0.172400	0.195800	0.193500	0.115800	0.186500	0.168800	0.176900	0.158200	0.095900
545219.0	0.215500	0.140700	0.161700	0.231700	0.162800	0.211900	0.212300	0.111200	0.176400	0.198300	0.196200	0.111100	0.188400	0.169200	0.176600	0.157600	0.090200
550314.5	0.217900	0.139800	0.162000	0.234600	0.165500	0.211800	0.212300	0.113600	0.174700	0.196800	0.195800	0.110800	0.187700	0.169200	0.176100	0.156800	0.092700
555410.0	0.219900	0.137300	0.162300	0.236800	0.168200	0.217700	0.220300	0.105200	0.178000	0.199600	0.198300	0.106000	0.194100	0.170000	0.176600	0.157300	0.087100
560505.5	0.229500	0.142900	0.161000	0.227100	0.160700	0.207800	0.201800	0.116300	0.171900	0.194100	0.192500	0.114500	0.181700	0.167100	0.176500	0.157300	0.094500
565601.0	0.229600	0.139300	0.161200	0.233900	0.166300	0.212200	0.216500	0.110300	0.175900	0.198500	0.195500	0.108500	0.188800	0.168500	0.175500	0.155700	0.090700
570696.5	0.231000	0.141900	0.160200	0.228100	0.160600	0.205800	0.204400	0.115500	0.173100	0.194800	0.193100	0.113900	0.183600	0.168000	0.175900	0.157500	0.095300
575792.0	0.234300	0.144800	0.161700	0.222000	0.156700	0.203400	0.196800	0.123800	0.169200	0.192300	0.190700	0.117400	0.181400	0.167600	0.176300	0.157600	0.097800
580887.5	0.227400	0.139700	0.162300	0.233200	0.164100	0.210200	0.216600	0.110500	0.175900	0.197600	0.195300	0.109000	0.188200	0.168100	0.175200	0.156600	0.090500
585983.0	0.230300	0.142700	0.161400	0.227600	0.161500	0.204200	0.210000	0.113600	0.172000	0.196100	0.193700	0.113200	0.182800	0.167400	0.175100	0.157100	0.092500
591078.5	0.230700	0.144800	0.161800	0.225900	0.159800	0.202200	0.206500	0.118300	0.169500	0.193700	0.191800	0.115400	0.180300	0.166200	0.175000	0.156100	0.094600
596174.0	0.227000	0.142200	0.161300	0.226300	0.161000	0.200700	0.206800	0.116500	0.169900	0.193700	0.192000	0.113500	0.179400	0.165000	0.173900	0.154600	0.091500
601269.6	0.226200	0.143400	0.161800	0.226600	0.159200	0.203100	0.207000	0.116700	0.171100	0.194900	0.192900	0.113600	0.182100	0.166900	0.175300	0.156100	0.090800
606365.1	0.223100	0.139500	0.161000	0.224900	0.158700	0.203100	0.209100	0.110400	0.172300	0.196200	0.193000	0.110000	0.181200	0.166400	0.174000	0.154600	0.089100
611460.6	0.229100	0.142400	0.163200	0.229800	0.162000	0.203100	0.207600	0.117900	0.170400	0.195700	0.193000	0.114100	0.180000	0.167300	0.174400	0.156000	0.094300
616556.1	0.231600	0.143100	0.163600	0.228100	0.158500	0.205600	0.206400	0.114200	0.170300	0.193700	0.191500	0.114200	0.183700	0.166600	0.173800	0.155700	0.094900
621651.6	0.230600	0.141500	0.162900	0.226800	0.158700	0.205300	0.206600	0.115700	0.170500	0.193900	0.192100	0.112400	0.181500	0.166000	0.173400	0.155000	0.092000
626747.1	0.231200	0.142700	0.160800	0.225800	0.154100	0.201400	0.203600	0.112200	0.169600	0.193000	0.191900	0.112100	0.179500	0.165700	0.173700	0.154600	0.092000
631842.6	0.222200	0.136900	0.162400	0.233500	0.164900	0.208000	0.220200	0.103400	0.174700	0.197300	0.195500	0.104400	0.185500	0.166800	0.172900	0.154900	0.086700
636938.1	0.229400	0.142900	0.161000	0.224900	0.158500	0.201500	0.204800	0.115900	0.169900	0.193200	0.190900	0.113700	0.179500	0.164800	0.172900	0.154200	0.091700
642033.6	0.223100	0.139800	0.163300	0.228800	0.160000	0.205700	0.211800	0.108200	0.172700	0.196200	0.194000	0.107700	0.184000	0.165300	0.172600	0.154400	0.088700
647129.1	0.225500	0.142500	0.163900	0.229100	0.161200	0.203100	0.208300	0.114700	0.170800	0.194400	0.192100	0.111500	0.181700	0.164500	0.172700	0.153800	0.092400
652224.6	0.225600	0.142000	0.164300	0.223900	0.159900	0.200800	0.203000	0.115800	0.169900	0.193500	0.192700	0.112700	0.180200	0.164100	0.173000	0.154300	0.090600
657320.1	0.226300	0.141300	0.163800	0.224700	0.159900	0.202300	0.208100	0.113900	0.170100	0.194200	0.193100	0.111500	0.180900	0.164500	0.172400	0.154500	0.091100
662415.6	0.231400	0.143200	0.164000	0.225500	0.156700	0.200500	0.205200	0.113800	0.170400	0.194400	0.192100	0.112800	0.182400	0.164300	0.174400	0.155500	0.092200
667511.1	0.223300	0.139100	0.164300	0.229200	0.163300	0.203900	0.214600	0.111100	0.173000	0.197100	0.194600	0.109500	0.183300	0.164500	0.173500	0.155200	0.090100
672606.6	0.222500	0.138800	0.163600	0.227700	0.162600	0.202300	0.212800	0.111100	0.172300	0.196600	0.194000	0.108100	0.182100	0.164400	0.174000	0.154300	0.089900
677702.1	0.223900	0.140400	0.164500	0.226700	0.159800	0.202600	0.212000	0.110500	0.171600	0.195600	0.193900	0.110200	0.182300	0.165400	0.176200	0.155700	0.092700
682797.6	0.223100	0.141600	0.164500	0.224400	0.157400	0.201300	0.209600	0.112400	0.171600	0.194700	0.191200	0.111400	0.180900	0.164100	0.176200	0.154900	0.092700
687893.1	0.218900	0.140700	0.164300	0.226100	0.160800	0.204500	0.216100	0.110000	0.173300	0.198000	0.193600	0.108700	0.183300	0.164900	0.176000	0.154100	0.090200
692988.6	0.213400	0.135000	0.164100	0.234900	0.168400	0.209000	0.232900	0.100300	0.177200	0.201500	0.197300	0.102500	0.188900	0.165900	0.175100	0.154400	0.084900
698084.1	0.215600	0.137300	0.163200	0.232100	0.165300	0.206400	0.225400	0.103800	0.175700	0.198800	0.194700	0.106500	0.186900	0.165300	0.175200	0.155000	0.089100
