VERSION	1200
Time[MSec.]	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio
%.1f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f
Time	ROI(1-1)	ROI(1-2)	ROI(1-3)	ROI(1-4)	ROI(1-5)	ROI(1-6)	ROI(1-7)	ROI(1-8)	ROI(1-9)	ROI(1-10)	ROI(1-11)	ROI(1-12)	ROI(1-13)	ROI(1-14)	ROI(1-15)	ROI(1-16)	ROI(1-17)	ROI(1-18)	ROI(1-19)	ROI(1-20)	ROI(1-21)
GraphNo	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21
237560.8	0.268400	0.377700	0.255700	0.360800	0.279700	0.270700	0.353300	0.276000	0.223400	0.192000	0.294600	0.286500	0.274600	0.190500	0.275800	0.324300	0.094900	0.160400	0.321300	0.216500	0.346900
242725.2	0.274600	0.364600	0.248900	0.342100	0.281400	0.267300	0.347900	0.269500	0.226900	0.201800	0.284600	0.276700	0.273700	0.196300	0.283300	0.320600	0.098800	0.167900	0.312500	0.211300	0.326900
247889.6	0.269700	0.349100	0.238700	0.322900	0.277800	0.264200	0.331400	0.262700	0.220400	0.189400	0.283600	0.275700	0.270100	0.183700	0.293000	0.320700	0.096900	0.161000	0.312700	0.211700	0.316500
253053.9	0.271300	0.344000	0.232400	0.309200	0.273700	0.253000	0.311100	0.260000	0.211100	0.174600	0.275700	0.269600	0.262800	0.182700	0.296700	0.323100	0.095500	0.155900	0.309600	0.210900	0.302600
258218.3	0.268200	0.338300	0.227600	0.309200	0.277900	0.250600	0.306800	0.253400	0.209400	0.160600	0.273600	0.272400	0.265100	0.186000	0.305300	0.318400	0.096000	0.156700	0.299300	0.205600	0.300500
263382.7	0.263300	0.337500	0.223600	0.306800	0.272400	0.245700	0.307100	0.249300	0.203500	0.160600	0.268600	0.268000	0.261500	0.184300	0.307800	0.315900	0.097500	0.154100	0.293100	0.203600	0.295000
268547.0	0.253700	0.334100	0.218100	0.303700	0.262900	0.244200	0.309200	0.244800	0.195200	0.153900	0.269700	0.268100	0.257300	0.175100	0.311400	0.307900	0.095700	0.148100	0.287100	0.200700	0.292800
273711.4	0.250900	0.334900	0.216300	0.304400	0.254700	0.241100	0.310500	0.245500	0.183600	0.152800	0.267300	0.264100	0.251600	0.169500	0.303100	0.295900	0.094600	0.144100	0.286100	0.203100	0.287500
278875.8	0.241100	0.330300	0.210800	0.303200	0.246000	0.236700	0.307400	0.242100	0.182800	0.154700	0.262700	0.261100	0.247100	0.164800	0.286400	0.282300	0.094800	0.143800	0.277400	0.200700	0.282600
284040.1	0.232000	0.318600	0.206400	0.296600	0.236100	0.229800	0.301800	0.236100	0.176500	0.148500	0.255700	0.257700	0.239100	0.158700	0.269000	0.273500	0.093700	0.137500	0.265400	0.196300	0.275500
