VERSION	1200
Time[MSec.]	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio
%.1f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f
Time	ROI(1-1)	ROI(1-2)	ROI(1-3)	ROI(1-4)	ROI(1-5)	ROI(1-6)	ROI(1-7)	ROI(1-8)
GraphNo	1	2	3	4	5	6	7	8
903763.5	0.185400	0.211900	0.151600	0.246900	0.183600	0.189700	0.276800	0.108100
908927.8	0.184900	0.211000	0.153300	0.246000	0.183100	0.188200	0.276200	0.104400
914092.2	0.185500	0.211900	0.151900	0.247200	0.184300	0.189000	0.276900	0.106300
919256.5	0.182200	0.210600	0.151600	0.247900	0.184800	0.191000	0.273800	0.103500
924420.9	0.186000	0.210500	0.152500	0.241000	0.181800	0.186300	0.279900	0.111000
929585.3	0.182200	0.208700	0.151700	0.242300	0.181300	0.184800	0.276500	0.107500
934749.6	0.186800	0.211000	0.152400	0.243500	0.182900	0.186600	0.280400	0.108600
939914.0	0.188700	0.210900	0.155500	0.240000	0.181700	0.183800	0.286300	0.111500
945078.3	0.190700	0.210600	0.156400	0.236000	0.179200	0.181000	0.289400	0.115800
950242.7	0.187300	0.210500	0.153900	0.240900	0.183000	0.187100	0.281100	0.102800
955407.1	0.182800	0.208600	0.151800	0.242000	0.182500	0.187700	0.276200	0.100200
960571.4	0.180800	0.207100	0.150900	0.242400	0.181700	0.185400	0.275600	0.101200
965735.8	0.182700	0.207200	0.150600	0.241500	0.181800	0.188200	0.275700	0.100700
970900.2	0.188200	0.209400	0.153300	0.238700	0.182300	0.186200	0.285100	0.106900
976064.5	0.184400	0.206600	0.151200	0.235400	0.179700	0.183900	0.281300	0.108000
981228.9	0.186100	0.208400	0.151900	0.244800	0.184100	0.189800	0.282300	0.102300
986393.2	0.186800	0.208400	0.153100	0.236600	0.180500	0.185000	0.284300	0.106400
991557.6	0.187100	0.207100	0.153100	0.236300	0.181800	0.188200	0.285100	0.106500
996722.0	0.186900	0.206800	0.153000	0.235100	0.180800	0.189100	0.285000	0.106800
1001886.3	0.182400	0.204600	0.151500	0.236700	0.181100	0.189500	0.278900	0.102400
1007050.7	0.183800	0.205400	0.151400	0.238700	0.181700	0.189600	0.281700	0.106400
1012215.0	0.180100	0.203100	0.149900	0.236200	0.179200	0.187800	0.277700	0.102700
1017379.4	0.190800	0.208400	0.154800	0.233600	0.181500	0.188700	0.290100	0.105700
1022543.8	0.185500	0.206000	0.152600	0.239100	0.183200	0.192700	0.282200	0.101300
1027708.1	0.181400	0.204000	0.149400	0.237400	0.181600	0.191300	0.279500	0.100200
1032872.5	0.163500	0.196800	0.136000	0.241600	0.177800	0.194200	0.256500	0.096900
1038036.9	0.182200	0.207500	0.150200	0.240500	0.185800	0.197400	0.274800	0.095100
1043201.2	0.195300	0.208600	0.156600	0.230400	0.181800	0.187800	0.296300	0.110500
1048365.6	0.184500	0.203400	0.151500	0.234200	0.180600	0.190500	0.284000	0.102600
1053529.9	0.187200	0.204300	0.154400	0.233000	0.180900	0.191700	0.287500	0.102800
1058694.3	0.181900	0.202700	0.151600	0.234700	0.181300	0.192100	0.281200	0.099600
1063858.7	0.185200	0.204400	0.151700	0.237000	0.183100	0.195200	0.285100	0.098700
1069023.0	0.184100	0.203000	0.151200	0.235700	0.181800	0.193500	0.284900	0.099500
1074187.4	0.182900	0.201500	0.152000	0.233700	0.180600	0.191300	0.284300	0.102900
1079351.7	0.183400	0.201000	0.151800	0.236100	0.182400	0.193400	0.283400	0.098800
1084516.1	0.186300	0.203000	0.151300	0.232800	0.181700	0.193900	0.289400	0.103800
1089680.5	0.181600	0.201000	0.150100	0.235200	0.181800	0.193900	0.282200	0.096900
1094844.8	0.185000	0.201000	0.153000	0.229600	0.180400	0.189500	0.289100	0.105300
1100009.2	0.184700	0.201700	0.151700	0.229200	0.180300	0.191300	0.286300	0.099600
1105173.6	0.185100	0.201100	0.153200	0.231600	0.180800	0.194300	0.287500	0.100500
1110337.9	0.185200	0.201000	0.151600	0.232100	0.180500	0.191800	0.288900	0.101600
1115502.3	0.185200	0.201200	0.152800	0.228800	0.180100	0.192100	0.288600	0.100500
1120666.6	0.185200	0.200800	0.151200	0.229900	0.180400	0.193700	0.288400	0.101300
1125831.0	0.183200	0.199800	0.151100	0.231000	0.181600	0.193500	0.287200	0.099700
1130995.4	0.186200	0.200400	0.154000	0.228500	0.179700	0.189800	0.293000	0.103900
1136159.7	0.181800	0.198700	0.150200	0.228300	0.179900	0.193900	0.285000	0.100000
1141324.1	0.181700	0.198900	0.149800	0.230700	0.181000	0.193900	0.284800	0.097000
1146488.5	0.184200	0.198600	0.151900	0.227000	0.179800	0.191300	0.290000	0.100000
1151652.8	0.182000	0.197800	0.149000	0.229500	0.180200	0.192700	0.286700	0.100700
1156817.2	0.187300	0.199300	0.153900	0.224100	0.179100	0.190100	0.295500	0.106700
1161981.5	0.184200	0.198600	0.152200	0.227200	0.179800	0.193500	0.289600	0.097300
1167145.9	0.192300	0.206600	0.155300	0.228100	0.185600	0.197800	0.292300	0.099200
1172310.3	0.184900	0.204600	0.151100	0.229900	0.184400	0.199800	0.282900	0.090800
1177474.6	0.203300	0.214200	0.151200	0.251600	0.198900	0.218400	0.299500	0.091200
1182639.0	0.197600	0.211500	0.150700	0.241000	0.190700	0.206700	0.300500	0.097600
1187803.3	0.191200	0.203100	0.156200	0.230900	0.181600	0.199700	0.305600	0.109300
1192967.7	0.200400	0.208700	0.159100	0.232700	0.184300	0.201200	0.315400	0.106300
1198132.1	0.186500	0.201000	0.152700	0.233800	0.182300	0.201100	0.299500	0.098700
1203296.4	0.178900	0.197200	0.148800	0.235200	0.181900	0.205400	0.288700	0.097000
1208460.8	0.188500	0.198300	0.154400	0.230100	0.182000	0.200000	0.302500	0.105200
1213625.1	0.200100	0.205500	0.159600	0.230000	0.184200	0.201000	0.316800	0.107000
1218789.5	0.189700	0.198800	0.154900	0.231300	0.181700	0.199700	0.307400	0.105600
1223953.9	0.190300	0.199800	0.156800	0.228500	0.182500	0.200700	0.306600	0.105400
1229118.2	0.186000	0.201800	0.148500	0.242900	0.189900	0.210000	0.294000	0.095400
1234282.6	0.197300	0.204400	0.163900	0.237500	0.195300	0.207200	0.307000	0.105200
1239447.0	0.199400	0.200900	0.168000	0.238600	0.194200	0.201600	0.312600	0.109000
