VERSION	1200
Time[MSec.]	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio
%.1f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f
Time	ROI(1-1)	ROI(1-2)	ROI(1-3)	ROI(1-4)	ROI(1-5)	ROI(1-6)	ROI(1-7)	ROI(1-8)	ROI(1-9)
GraphNo	1	2	3	4	5	6	7	8	9
738504.0	0.252000	0.213900	0.186700	0.204900	0.279500	0.214600	0.165100	0.175000	0.132100
743668.4	0.275700	0.216900	0.187800	0.206800	0.276700	0.219100	0.164400	0.174700	0.133100
748832.7	0.258000	0.223400	0.189100	0.208800	0.276600	0.223400	0.165000	0.171700	0.126600
753997.1	0.234300	0.215900	0.187800	0.212000	0.269600	0.225900	0.166100	0.178600	0.132600
759161.5	0.231200	0.221000	0.188800	0.212000	0.260100	0.230400	0.165400	0.174000	0.131900
764325.8	0.227400	0.221900	0.189700	0.214000	0.251400	0.230500	0.166100	0.172800	0.134400
769490.2	0.225300	0.225200	0.191700	0.218200	0.249600	0.231800	0.166500	0.169500	0.129300
774654.6	0.216300	0.223100	0.190800	0.218300	0.245600	0.232500	0.167100	0.172100	0.136600
779818.9	0.212000	0.225000	0.193000	0.218500	0.239800	0.233100	0.166700	0.170500	0.134200
784983.3	0.212900	0.231400	0.194100	0.220000	0.240000	0.237300	0.168000	0.168000	0.129500
790147.7	0.200000	0.222200	0.189400	0.219100	0.229600	0.231900	0.170300	0.170400	0.136800
795312.0	0.202300	0.232100	0.192700	0.220300	0.229900	0.236600	0.170800	0.168500	0.133100
800476.4	0.204800	0.238500	0.195200	0.220000	0.227800	0.237200	0.172000	0.168200	0.128600
805640.7	0.188800	0.225000	0.191600	0.218000	0.219900	0.229800	0.173900	0.176300	0.139600
810805.1	0.186400	0.225600	0.196600	0.216600	0.217800	0.227400	0.174100	0.173000	0.143200
815969.5	0.190800	0.232600	0.202200	0.217000	0.216800	0.227700	0.175600	0.176100	0.137100
821133.8	0.194400	0.238000	0.200500	0.216600	0.216100	0.228900	0.174600	0.172900	0.138700
826298.2	0.190400	0.232700	0.198300	0.215400	0.215700	0.227500	0.176600	0.177400	0.135800
831462.6	0.193500	0.238800	0.199800	0.213300	0.214700	0.227500	0.175700	0.174000	0.138200
836626.9	0.190900	0.239000	0.197500	0.214000	0.214500	0.227500	0.175200	0.174900	0.136300
841791.3	0.188900	0.232700	0.192800	0.211600	0.210100	0.223200	0.173800	0.176800	0.141300
846955.6	0.200600	0.245300	0.198300	0.211400	0.213600	0.227500	0.176200	0.175000	0.134300
