VERSION	1200
Time[MSec.]	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio
%.1f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f
Time	ROI(1-1)	ROI(1-2)	ROI(1-3)	ROI(1-4)	ROI(1-5)	ROI(1-6)	ROI(1-7)	ROI(1-8)	ROI(1-9)
GraphNo	1	2	3	4	5	6	7	8	9
810805.0	0.203500	0.257800	0.219500	0.247900	0.280400	0.219000	0.251100	0.183800	0.109900
815969.4	0.204200	0.251200	0.210700	0.244200	0.275300	0.217800	0.249200	0.182200	0.114000
821133.7	0.202000	0.251000	0.221100	0.249100	0.275000	0.218700	0.254100	0.184900	0.116400
826298.1	0.201000	0.239700	0.185600	0.231100	0.262800	0.210600	0.244400	0.171800	0.121700
831462.4	0.206400	0.251000	0.213000	0.244800	0.269600	0.218200	0.260900	0.175700	0.104200
836626.8	0.209800	0.260700	0.234000	0.257000	0.274600	0.223900	0.272000	0.185000	0.107000
841791.2	0.210500	0.242200	0.210200	0.248400	0.264500	0.217300	0.258500	0.184400	0.114800
846955.5	0.215800	0.244900	0.209100	0.251800	0.267300	0.220900	0.260400	0.184300	0.113300
852119.9	0.216000	0.243600	0.208500	0.252000	0.267100	0.220600	0.260500	0.184100	0.116700
857284.3	0.218400	0.240600	0.209500	0.253700	0.264800	0.220300	0.262800	0.186400	0.120400
862448.6	0.215600	0.240400	0.206800	0.250600	0.262900	0.216400	0.268400	0.177800	0.109800
867613.0	0.243600	0.258000	0.204300	0.263700	0.290600	0.239700	0.274900	0.176000	0.087000
872777.3	0.224400	0.244700	0.219000	0.262100	0.267800	0.223600	0.276700	0.182200	0.099200
877941.7	0.211600	0.235900	0.207500	0.246900	0.252700	0.210600	0.264200	0.177600	0.127400
883106.1	0.224500	0.229700	0.212300	0.256200	0.259600	0.216900	0.263700	0.183800	0.121200
888270.4	0.230000	0.229400	0.215000	0.259800	0.257300	0.217800	0.265700	0.186200	0.119800
893434.8	0.232500	0.229700	0.216100	0.261100	0.260300	0.219500	0.265100	0.185400	0.118500
898599.2	0.232000	0.215400	0.178000	0.239400	0.251200	0.212000	0.254000	0.169200	0.114000
903763.5	0.236500	0.230800	0.215800	0.257300	0.257200	0.218700	0.271200	0.177100	0.108600
908927.9	0.233200	0.237700	0.234700	0.261600	0.259100	0.220200	0.273500	0.183000	0.122900
914092.2	0.238600	0.224100	0.210600	0.254000	0.261900	0.218400	0.260300	0.182200	0.116200
919256.6	0.237500	0.231900	0.226500	0.254100	0.261800	0.217400	0.264900	0.179400	0.124400
924421.0	0.236200	0.223500	0.219100	0.252300	0.259000	0.217200	0.263400	0.177300	0.119200
929585.3	0.241100	0.222900	0.220300	0.259200	0.265200	0.218800	0.256900	0.184300	0.126800
934749.7	0.237400	0.227200	0.216400	0.255100	0.263100	0.217300	0.259100	0.178100	0.126400
939914.1	0.238400	0.225700	0.222100	0.255800	0.264600	0.216900	0.257000	0.176100	0.133200
945078.4	0.248900	0.224300	0.218100	0.263400	0.273400	0.223700	0.254400	0.181700	0.118300
950242.8	0.240200	0.230500	0.222700	0.261400	0.267900	0.219900	0.259600	0.179000	0.121300
955407.1	0.243200	0.225400	0.224800	0.267500	0.270000	0.223600	0.254400	0.183500	0.126400
960571.5	0.246900	0.230000	0.223500	0.270800	0.272200	0.224600	0.254700	0.184200	0.124500
965735.9	0.244700	0.227500	0.219200	0.272200	0.271700	0.224000	0.254100	0.183600	0.126900
970900.2	0.241300	0.233000	0.226600	0.270800	0.264800	0.222800	0.260800	0.179800	0.127600
976064.6	0.246100	0.238500	0.240500	0.282800	0.271500	0.229400	0.267000	0.184900	0.126100
981229.0	0.246500	0.229300	0.223600	0.274000	0.267300	0.225000	0.252500	0.182700	0.127100
986393.3	0.246400	0.230800	0.222300	0.277000	0.269300	0.225200	0.254200	0.183100	0.126100
991557.7	0.239800	0.231100	0.228100	0.275900	0.263000	0.222400	0.259900	0.180100	0.128000
996722.0	0.235200	0.233200	0.217400	0.269400	0.262200	0.219500	0.254600	0.176300	0.133300
1001886.4	0.242200	0.233900	0.222600	0.278300	0.271200	0.226100	0.260200	0.180900	0.116500
1007050.8	0.238500	0.228700	0.225000	0.277600	0.269000	0.221500	0.251600	0.183700	0.133000
1012215.1	0.241400	0.229300	0.220500	0.277600	0.273300	0.223900	0.250900	0.183900	0.128500
1017379.5	0.244100	0.229800	0.221000	0.277600	0.271900	0.225000	0.251100	0.184000	0.129700
1022543.9	0.241200	0.232900	0.222400	0.274200	0.269200	0.223700	0.257800	0.180000	0.126800
1027708.2	0.229000	0.226700	0.214600	0.261700	0.257900	0.214600	0.250200	0.174700	0.138000
1032872.6	0.236600	0.223400	0.222900	0.272900	0.263000	0.219800	0.248600	0.181700	0.135400
1038036.9	0.239900	0.225600	0.222300	0.274100	0.265100	0.223200	0.249400	0.182800	0.129100
